ano_quatrimistre;ventas_ billion_Us_dollars
2005-Q1;1.902
2005-Q2;1.753
2005-Q3;1.858
2005-Q4;2.977
2006-Q1;2.279
2006-Q2;2.139
2006-Q3;2.307
2006-Q4;3.986
2007-Q1;3.015
2007-Q2;2.886
2007-Q3;3.262
2007-Q4;5.672
2008-Q1;4.135
2008-Q2;4.063
2008-Q3;4.264
2008-Q4;6.704
2009-Q1;4.889
2009-Q2;4.651
2009-Q3;5.449
2009-Q4;9.520
2010-Q1;7.131
2010-Q2;6.566
2010-Q3;7.560
2010-Q4;12.947
2011-Q1;9.857
2011-Q2;9.913
2011-Q3;10.876
2011-Q4;17.431
2012-Q1;13.185
2012-Q2;12.834
2012-Q3;13.806
2012-Q4;21.268
2013-Q1;16.070
2013-Q2;15.704
2013-Q3;17.092
2013-Q4;25.586
2014-Q1;19.741
2014-Q2;19.340
2014-Q3;20.579
2014-Q4;29.328
2015-Q1;22.717
2015-Q2;23.185
2015-Q2;23.185
2015-Q4;35.746
2016-Q1;29.128
2016-Q3;32.714
2016-Q2;30.404
2016-Q4;43.741
2017-Q1;35.714
2017-Q2;37.955
2017-Q3;43.744
2017-Q4;60.453
2018-Q1;51.042
2018-Q2;52.886
2018-Q3;56.576
2018-Q4;72.383
2019-Q1;59.700
2019-Q2;63.404
2019-Q3;69.981
2019-Q4;87.437
2020-Q1;75.452
2020-Q2;88.912
2020-Q3;96.145
2020-Q4;125.555
2021-Q1;108.518
2021-Q2;113.080




